episode,return,length_steps,episode_time_s,is_goal_reached,is_collision,is_off_road,is_time_out,is_friction_violation,termination_reason,episode_completion_ratio,min_ttc_s,mean_ttc_s,min_ttc_lead_s,mean_ttc_lead_s,min_ttc_follow_s,mean_ttc_follow_s,min_thw_s,mean_thw_s,min_front_gap_m,distance_travelled_m,forward_progress_m,mean_speed_mps,max_speed_mps,mean_abs_acc_mps2,max_abs_acc_mps2,mean_abs_lat_acc_mps2,max_abs_lat_acc_mps2,mean_abs_jerk_mps3,max_abs_jerk_mps3,route_completion_ratio,tet_ttc_below_1.5s_s,tit_ttc_below_1.5s_s2,tet_ttc_below_2.0s_s,tit_ttc_below_2.0s_s2
0,1581.449893951416,53,2.12,0,0,1,0,0,is_off_road,0.49074074074074076,,,,,-2.311086383243487,-2.011942114683443,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1,2120.590455532074,79,3.16,0,0,1,0,0,is_off_road,0.79,,,2.7991676091328412,11.015917352345861,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2,1525.6338424682617,56,2.24,0,0,1,0,0,is_off_road,0.6086956521739131,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
3,6198.591156005859,99,3.96,1,0,0,0,0,is_goal_reached,0.7279411764705882,,,,,-3167.205139858628,-63.17238235131907,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
4,1830.4522094726562,69,2.7600000000000002,0,0,1,0,0,is_off_road,0.6509433962264151,,,,,-21.111423720238285,-13.601545686660156,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
5,2120.590455532074,79,3.16,0,0,1,0,0,is_off_road,0.79,,,2.7991676091328412,11.015917352345861,,,,,,,,,,,,,,,,0.12406920611118372,0.0,0.0,0.0,0.0
6,9465.387588500977,235,9.4,0,0,0,1,0,is_time_out,1.0,,,,,-450.74454692992526,32.295295969280794,,,,,,,,,,,,,,0.6209042417601865,0.0,0.0,0.0,0.0
7,646.0599708557129,34,1.36,0,0,1,0,0,is_off_road,0.2833333333333333,,,,,-72.36442883823251,-37.99063260115479,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
8,1581.449893951416,53,2.12,0,0,1,0,0,is_off_road,0.49074074074074076,,,,,-2.311086383243487,-2.011942114683443,,,,,,,,,,,,,,0.2626564338502431,0.0,0.0,0.0,0.0
9,3795.641944885254,115,4.6000000000000005,0,0,1,0,0,is_off_road,0.32122905027932963,,,-1099.2540059248652,35.94343534306797,,,,,,,,,,,,,,,,0.2615285136305763,0.0,0.0,0.0,0.0
10,3795.641944885254,115,4.6000000000000005,0,0,1,0,0,is_off_road,0.32122905027932963,,,-1099.2540059248652,35.94343534306797,,,,,,,,,,,,,,,,0.6845982410871377,0.0,0.0,0.0,0.0
11,1627.1369247436523,61,2.44,0,0,1,0,0,is_off_road,0.27601809954751133,,,-151.99152534250103,-16.759341141617124,-718.1746896237611,1.3069116827401073,,,,,,,,,,,,,,0.05214577126083517,0.0,0.0,0.0,0.0
12,7538.10139465332,191,7.640000000000001,0,0,1,0,0,is_off_road,0.7262357414448669,,,-527.5157142617292,28.988058630059186,-329.57186424325397,14.627972961500614,,,,,,,,,,,,,,0.7384103683593637,0.0,0.0,0.0,0.0
13,9465.387588500977,235,9.4,0,0,0,1,0,is_time_out,1.0,,,,,-450.74454692992526,32.295295969280794,,,,,,,,,,,,,,0.6220961875800967,0.0,0.0,0.0,0.0
14,1627.1369247436523,61,2.44,0,0,1,0,0,is_off_road,0.27601809954751133,,,-151.99152534250103,-16.759341141617124,-718.1746896237611,1.3069116827401073,,,,,,,,,,,,,,0.05214577126083517,0.0,0.0,0.0,0.0
15,1830.4522094726562,69,2.7600000000000002,0,0,1,0,0,is_off_road,0.6509433962264151,,,,,-21.111423720238285,-13.601545686660156,,,,,,,,,,,,,,0.14187673242938342,0.0,0.0,0.0,0.0
16,9460.765605926514,243,9.72,0,0,1,0,0,is_off_road,0.9,,,-2660.5583957913836,-26.082580894710013,-12112.014173030391,-63.49697472102126,,,,,,,,,,,,,,0.7018976310203094,0.0,0.0,0.0,0.0
17,1627.1369247436523,61,2.44,0,0,1,0,0,is_off_road,0.27601809954751133,,,-151.99152534250103,-16.759341141617124,-718.1746896237611,1.3069116827401073,,,,,,,,,,,,,,0.5707865312960859,0.0,0.0,0.0,0.0
18,1627.1369247436523,61,2.44,0,0,1,0,0,is_off_road,0.27601809954751133,,,-151.99152534250103,-16.759341141617124,-718.1746896237611,1.3069116827401073,,,,,,,,,,,,,,0.3747349136237944,0.0,0.0,0.0,0.0
19,596.7011375427246,35,1.4000000000000001,0,1,0,0,0,is_collision,0.4166666666666667,,,,,-6.5162916159784485,-5.025547167166796,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
20,2120.590455532074,79,3.16,0,0,1,0,0,is_off_road,0.79,,,2.7991676091328412,11.015917352345861,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
21,7538.10139465332,191,7.640000000000001,0,0,1,0,0,is_off_road,0.7262357414448669,,,-527.5157142617292,28.988058630059186,-329.57186424325397,14.627972961500614,,,,,,,,,,,,,,0.3044214529832237,0.0,0.0,0.0,0.0
22,3795.641944885254,115,4.6000000000000005,0,0,1,0,0,is_off_road,0.32122905027932963,,,-1099.2540059248652,35.94343534306797,,,,,,,,,,,,,,,,0.5405323401770975,0.0,0.0,0.0,0.0
23,3795.641944885254,115,4.6000000000000005,0,0,1,0,0,is_off_road,0.32122905027932963,,,-1099.2540059248652,35.94343534306797,,,,,,,,,,,,,,,,0.0851965167691036,0.0,0.0,0.0,0.0
24,13647.45475769043,366,14.64,0,1,0,0,0,is_collision,0.7939262472885033,,,-1361.4294305478759,-5.25916717404615,-279.70674041309786,2017.6720037924288,,,,,,,,,,,,,,0.0033077667539053945,0.0,0.0,0.0,0.0
25,3795.641944885254,115,4.6000000000000005,0,0,1,0,0,is_off_road,0.32122905027932963,,,-1099.2540059248652,35.94343534306797,,,,,,,,,,,,,,,,0.2615285136305763,0.0,0.0,0.0,0.0
26,7538.10139465332,191,7.640000000000001,0,0,1,0,0,is_off_road,0.7262357414448669,,,-527.5157142617292,28.988058630059186,-329.57186424325397,14.627972961500614,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
